         142820 function calls (140735 primitive calls) in 0.087 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     1456    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     3985    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       24    0.000    0.000    0.000    0.000 inspect.py:2307(_signature_from_function)
      432    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
     3726    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      257    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
     2651    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:423(__exit__)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        8    0.000    0.000    0.000    0.000 <frozen zipimport>:67(__init__)
        3    0.000    0.000    0.000    0.000 _py_warnings.py:254(filterwarnings)
        3    0.000    0.000    0.000    0.000 __init__.py:188(_safe_realpath)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:661(realpath)
     2539    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1837    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
       13    0.000    0.000    0.000    0.000 typing.py:1113(_generic_class_getitem)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
       36    0.000    0.000    0.000    0.000 typing.py:1541(__init__)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      373    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:2128(__init_subclass__)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      251    0.000    0.000    0.000    0.000 typing.py:1276(__getattr__)
        8    0.000    0.000    0.000    0.000 {built-in method nt._getfinalpathname}
       50    0.000    0.000    0.000    0.000 typing.py:365(_flatten_literal_params)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:457(_validate_timestamp_pyc)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1449(path_hook_for_FileFinder)
      978    0.000    0.000    0.000    0.000 typing.py:1355(__eq__)
      104    0.000    0.000    0.000    0.000 typing.py:1037(_typevar_subst)
       10    0.000    0.000    0.000    0.000 annotationlib.py:697(call_annotate_function)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      350    0.000    0.000    0.000    0.000 function_base.py:456(_needs_add_docstring)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
      588    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
